tournament_id,name,date,n_rounds,n_players,country,fide_rated,system,time_control,avg_rating,pct_rated,url
1065413,"XXXIV Torneo Internacional Carlos Torre Repetto ""I",13.12.2024,9,38,MEX,True,Swiss,,2214.2,1.0,https://s1.chess-results.com/tnr1065413.aspx?lan=1
1080372,108th Edward Lasker Memorial and Marshall Chess Cl,12.12.2024,7,45,USA,True,Swiss,,2082.4,1.0,https://s1.chess-results.com/tnr1080372.aspx?lan=1
1054159,"53. MEĐUNARODNI ŠAHOVSKI TURNIR ""BOSNA 2024""",12.12.2024,7,60,BIH,True,Swiss,,2003.1,0.836,https://s1.chess-results.com/tnr1054159.aspx?lan=1
957150,XI SUNWAY SITGES INTERNATIONAL CHESS FESTIVAL 2024,12.12.2024,10,150,FM,True,Swiss,,2238.3,1.0,https://s1.chess-results.com/tnr957150.aspx?lan=1
1063384,Skopje OPEN 2024 - A,11.12.2024,9,94,MKD,True,Swiss,,2076.2,1.0,https://s1.chess-results.com/tnr1063384.aspx?lan=1
1059715,2° GRAN ABIERTO ALICIA DE GUELMAN CLUB ARGENTINO D,09.12.2024,8,82,ARG,True,Swiss,,1896.4,0.916,https://s1.chess-results.com/tnr1059715.aspx?lan=1
1073951,NCC OPEN 2024 MASTERS,09.12.2024,9,36,NGR,True,Swiss,,1992.4,0.923,https://s1.chess-results.com/tnr1073951.aspx?lan=1
976288,Wiener Advent Open 2024Gruppe A,09.12.2024,7,47,AUT,True,Swiss,,1982.4,1.0,https://s1.chess-results.com/tnr976288.aspx?lan=1
1070226,3rd Alamto Cup International Chess Festival A,07.12.2024,9,40,IRI,True,Swiss,,2078.6,1.0,https://s1.chess-results.com/tnr1070226.aspx?lan=1
1071465,3rd Alamto Cup International Chess Festival B Ilam,07.12.2024,9,47,IRI,True,Swiss,,1801.3,1.0,https://s1.chess-results.com/tnr1071465.aspx?lan=1
1075546,Festival Sudamericano de la Juventud - Categoria S,07.12.2024,9,38,ARG,True,Swiss,,1829.4,0.947,https://s1.chess-results.com/tnr1075546.aspx?lan=1
1075548,Festival Sudamericano de la Juventud - Categoria S,07.12.2024,9,31,URU,True,Swiss,,1984.5,1.0,https://s1.chess-results.com/tnr1075548.aspx?lan=1
1088394,3. Lípácký rapid U Vacků - Silvestrovský turnaj,31.12.2024,9,38,CZE,True,Swiss,Rapid,1817.6,0.947,https://s1.chess-results.com/tnr1088394.aspx?lan=1
1080926,10 város Miskolc - Open A,30.12.2024,7,36,HUN,True,Swiss,,1821.6,1.0,https://s1.chess-results.com/tnr1080926.aspx?lan=1
